Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Fix versions,Components,Components,Components,Components,Components,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Defect),Outward issue link (Defect),Inward issue link (Dependency),Inward issue link (Dependency),Inward issue link (Dependency),Inward issue link (Dependency),Inward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Inward issue link (Discovery - Connected),Outward issue link (Discovery - Connected),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Gantt End to Start),Outward issue link (Gantt End to Start),Inward issue link (Issue Split),Outward issue link (Issue Split),Outward issue link (Issue Split),Outward issue link (Issue Split),Inward issue link (Polaris datapoint work item link),Outward issue link (Polaris datapoint work item link),Outward issue link (Polaris datapoint work item link),Inward issue link (Polaris work item link),Outward issue link (Polaris work item link),Outward issue link (Polaris work item link),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (Team Dependency),Inward issue link (Team Dependency),Inward issue link (Team Dependency),Outward issue link (Team Dependency),Outward issue link (Team Dependency),Outward issue link (Team Dependency),Outward issue link (Team Dependency),Inward issue link (Test),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Accenture Phase 1),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Backout plan),Custom field (Baseline end date),Custom field (Baseline start date),Custom field (Begin Date),Custom field (Category),Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Comments),Custom field (Committed Date),Custom field (Confidence),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Dependency Health),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (ETA),Custom field (Effort),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Completion Date),Custom field (Estimated Remaining Story Points),Custom field (Flagged),Custom field (Focus Areas),Custom field (Goals),Custom field (IT Severity),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Impact score),Custom field (Impacted Project),Custom field (Implementation plan),Custom field (Insights),Custom field (Investigation reason),Custom field (Is this a security incident?),Custom field (Issue color),Custom field (LOE Estimate),Custom field (Linked items),Custom field (Locked forms),Custom field (Major incident),Custom field (Non-Pointed Estimate),Custom field (Open forms),Custom field (Operational categorization),Custom field (Organizations),Custom field (Original Story Points),Custom field (Pending reason),Custom field (Percent Complete),Custom field (Planned end),Custom field (Planned start),Custom field (Product categorization),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project target),Custom field (Rank),Custom field (Remaining Sprints),Custom field (Remaining Story Points),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Reviewer),Custom field (Reviewer)Id,Custom field (Roadmap),Custom field (Root cause),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security requirements accomplished),Custom field (Sentiment),Custom field (Severity),Custom field (Source),Custom field (Spec ready),Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (T-Shirt Size),Custom field (Target end),Custom field (Target start),Custom field (Task progress),Custom field (Team),Custom field (Test plan),Custom field (Time to approve normal change),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Value),Custom field (Vulnerability),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Enable Conditional Reconciliation ,PR-1555,48749,Goal/Strategic Initiative,New,PR,Product Roadmap,software,Ryan McQueen,5e73b529ab4d3f0c3d06bc71,,,Major,,,,Colleen Leonard,712020:896f2d6f-de18-44c9-8d02-eca1a19834e2,Colleen Leonard,712020:896f2d6f-de18-44c9-8d02-eca1a19834e2,12/Nov/25 8:29 AM,12/Nov/25 8:29 AM,,,,,,Colony Bank,,,,,,0,,,,,,,,,"Colony Bank is experiencing a high number of “Fails” within their work items due to data being blank in one of the sources for reconciliation (Allegro). We cannot remove this source from the reconciliation logic altogether as they DO need to know if the data in Allegro has changed from the data in the rest of the loan documentation. However, if the information is simply blank in Allegro, they do not need to review the fail in order to move forward.

If the System of Record is Null (Note let’s make this a selectable field for any source)

AND 

All the other sources reconcile

THEN

Update the System of Record with the value for one of the sources that is the normalized value that reconciled across them.

As a result

* Trigger the update to the System of Record (API or File Update)
* Populate in the UI that the System of Record is not correct
** Note: I’m not sure if this will break other logic as I don’t want this to show a break in the UI
** If helpful we can add a third option of No, it is not populated and will be updated from the other sources….this may be easiest to implement as it won’t break other UI logic
* I want this to show as a pass, since we are ok to update the System of Record when all the other documents are correct",,Colleen Leonard,,,,,712020:896f2d6f-de18-44c9-8d02-eca1a19834e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7ff0ccf8,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i01v8d:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,12/Nov/25 8:29 AM
UI and Dashboard Improvements to DeepRecon to Support Boradridge,UI-694,48746,Epic,To Do,UI,Front End Development,software,Ross Hamilton,624dc011fd5e450070484b01,,,Major,,,,Ryan McQueen,5e73b529ab4d3f0c3d06bc71,Ryan McQueen,5e73b529ab4d3f0c3d06bc71,11/Nov/25 11:32 PM,11/Nov/25 11:32 PM,,,,,,,,,,,,0,,,,,,,,,"List of Enhancements / Tasks

# Verify on the Supervisor dashboard what number is linked to “Categorized by Automation”. In the BR environment it is the same number and opens the same sample of emails as “Categorized  by the Model”. These should be different.
# We need a metric that shows the population that was recategorized by HITL feedback which represents only the emails where the agent originally categorized it, but a human had to change it.  This is separate from “Categorized by Human” which signifies the population not categorized by the model and instead added through HITL.
# In the Overview Dashboard - Message Volume Across Time
## Add a filter to toggle on or off the emails deemed “No Work” or “ No Action”
## Create a dashed line show these messages, so as a user we can watch these increase.
# When changing between Projects, change the UI to stay on the same current page with any filters selected in place.  This allows users to flip through projects quickly.
# Identify the top five senders to a Project in both internal and external categories.  For internal this is simply where their domain given is '@broadridge.com
# Adjust the UI layout to show the email attachment within the email screen.
## This is to simplify things and make them so we are not constantly flipping between screens to see an email and an attachment.
# Create a new report that aggregates the following data across all active projects
## Total Emails
## Top 5 Senders of email (Internally), and (Externally)
## Aggregation of no work emails",,Ryan McQueen,,,,,5e73b529ab4d3f0c3d06bc71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@cf779cd,,,,,,,,,,,,,,,,,,,,{},,,,,ghx-label-11,Broadridge UI and Metric Enhancements,To Do,,,,,,,,,,,,,,,,,,teal,,,,,,,,,,,,,,,,,,,1|i01v7p:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Nov/25 11:32 PM
PDF Conversion fails for PNG files,BACK-1481,48745,Defect,To Do,BACK,Back End Development,software,Ross Hamilton,624dc011fd5e450070484b01,,,Major,,,,Darius Ouderkirk,62320e211dcf800070e976c5,Darius Ouderkirk,62320e211dcf800070e976c5,11/Nov/25 3:08 PM,11/Nov/25 3:14 PM,,,,,,,,,,,,0,,,,,,,,,"When the extractor service tries to convert a PNG file to pdf, it fails. It looks like it’s a weird quirk in how we need to invoke libreoffice. For converting .doc files to pdf, we invoke it like this:

{noformat}soffice --headless --convert-to pdf:writer_pdf_Export --outdir ./output-file.pdf input-file.doc{noformat}

But if you try that with a png, you get an error like this:

{noformat}Error: Please verify input parameters... (SfxBaseModel::impl_store <file:///Users/darius.ouderkirk/Downloads/output-file.pdf/output-file.pdf> failed: 0x507(Error Area:Io Class:Access Code:7)){noformat}

If you call the method for PNGs like this, however, it will work:

{noformat}soffice --headless --convert-to pdf:writer_pdf_Export --outdir ./ input-file.png{noformat}

So we need to update it to only give the output directory if it’s an image. I tested with PNG and JPG, so I’m assuming it works the same for other image types as well.

*Acceptance Criteria:*

* PDF conversion succeeds for PNG, JPG, and other image file formats",,Darius Ouderkirk,,,,,62320e211dcf800070e976c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3cbac2f8,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i01v7h:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Nov/25 3:08 PM
Add a new blockly block to use equivalency lists on full strings,UI-693,48744,Story,To Do,UI,Front End Development,software,Ross Hamilton,624dc011fd5e450070484b01,,,Major,,,,Nadiya Omelchuk,712020:4a157d4a-df13-4316-9636-7219635236a2,Nadiya Omelchuk,712020:4a157d4a-df13-4316-9636-7219635236a2,11/Nov/25 1:02 PM,11/Nov/25 1:02 PM,,,,2025Q4,,,,,,,,0,,,,,,,,,,,Nadiya Omelchuk,,,,,712020:4a157d4a-df13-4316-9636-7219635236a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@76a8c946,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i01v79:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48736,UI-689,Implement Custom fields (key-value pairs) for Deep Recon,To Do,11/Nov/25 1:02 PM
Allow filtering and sorting by custom fields in Actionable data,UI-692,48742,Story,To Do,UI,Front End Development,software,Ross Hamilton,624dc011fd5e450070484b01,,,Major,,,,Nadiya Omelchuk,712020:4a157d4a-df13-4316-9636-7219635236a2,Nadiya Omelchuk,712020:4a157d4a-df13-4316-9636-7219635236a2,11/Nov/25 12:57 PM,11/Nov/25 12:57 PM,,,,2025Q4,,,,,,,,0,,,,,,,,,,,Nadiya Omelchuk,,,,,712020:4a157d4a-df13-4316-9636-7219635236a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7355e07,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i01v71:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48736,UI-689,Implement Custom fields (key-value pairs) for Deep Recon,To Do,11/Nov/25 12:57 PM
Display Custom fields in Actionable Data,UI-691,48740,Story,To Do,UI,Front End Development,software,Ross Hamilton,624dc011fd5e450070484b01,,,Major,,,,Nadiya Omelchuk,712020:4a157d4a-df13-4316-9636-7219635236a2,Nadiya Omelchuk,712020:4a157d4a-df13-4316-9636-7219635236a2,11/Nov/25 12:56 PM,11/Nov/25 12:56 PM,,,,2025Q4,,,,,,,,0,,,,,,,,,,,Nadiya Omelchuk,,,,,712020:4a157d4a-df13-4316-9636-7219635236a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3de1b837,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i01v6t:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48736,UI-689,Implement Custom fields (key-value pairs) for Deep Recon,To Do,11/Nov/25 12:56 PM
Allow the user to create custom fields when configuring Automations,UI-690,48738,Story,To Do,UI,Front End Development,software,Ross Hamilton,624dc011fd5e450070484b01,,,Major,,,,Nadiya Omelchuk,712020:4a157d4a-df13-4316-9636-7219635236a2,Nadiya Omelchuk,712020:4a157d4a-df13-4316-9636-7219635236a2,11/Nov/25 12:56 PM,11/Nov/25 12:59 PM,,,,2025Q4,,,,,,,,0,,,,,,,,,,,Nadiya Omelchuk,,,,,712020:4a157d4a-df13-4316-9636-7219635236a2,,,,,,,,,,,,,BACK-1472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BACK-1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@43b90652,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i01v6l:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48736,UI-689,Implement Custom fields (key-value pairs) for Deep Recon,To Do,11/Nov/25 12:56 PM
Implement Custom fields (key-value pairs) for Deep Recon,UI-689,48736,Epic,To Do,UI,Front End Development,software,Ross Hamilton,624dc011fd5e450070484b01,,,Major,,,,Nadiya Omelchuk,712020:4a157d4a-df13-4316-9636-7219635236a2,Nadiya Omelchuk,712020:4a157d4a-df13-4316-9636-7219635236a2,11/Nov/25 12:53 PM,11/Nov/25 12:54 PM,,,,2025Q4,,,,,,,,0,,,,,,,,,"Allow users to define arbitrary key-value pairs as custom fields (message attributes) when configuring Automations.

This is required for clients like Accenture to assign Sub-Category1-Subcategory4

Logic of the custom fields is defined here:

[^HERA Intro updated  -  Read-Only.pdf]

",,Nadiya Omelchuk,,,,,712020:4a157d4a-df13-4316-9636-7219635236a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/Nov/25 12:54 PM;e44ecf7e-20b2-42f9-a246-e45652fe699e;HERA Intro updated  -  Read-Only.pdf;https://deepsee.atlassian.net/rest/api/3/attachment/content/31952,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@25f51869,,,,,,,,,,,,,,,,,,,,{},,,,,ghx-label-1,Implement Custom fields (key-value pairs) for Deep Recon,To Do,,,,,,,,,,,,,,,,,,dark_grey,,,,,,,,,,,,,,,,,,,1|i01v6d:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47737,PR-1546,"DeepRecon replace ""HERA"" for Accenture",To Do,11/Nov/25 12:53 PM
Deploy the latest UI image to FIS Tenant,UI-688,48734,Story,To Do,UI,Front End Development,software,Ross Hamilton,624dc011fd5e450070484b01,,,Major,,,,Nadiya Omelchuk,712020:4a157d4a-df13-4316-9636-7219635236a2,Nadiya Omelchuk,712020:4a157d4a-df13-4316-9636-7219635236a2,11/Nov/25 8:28 AM,11/Nov/25 8:28 AM,,,,2025Q1,,,,,,,,0,,,,,,,,,,,Nadiya Omelchuk,,,,,712020:4a157d4a-df13-4316-9636-7219635236a2,,,,,,,,,,,,,,,,,,,,,,,,,,UI-684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@521aa95a,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i01v5x:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48733,UI-687,UI - Configure FIS Tenant,To Do,11/Nov/25 8:28 AM
UI - Configure FIS Tenant,UI-687,48733,Epic,To Do,UI,Front End Development,software,Ross Hamilton,624dc011fd5e450070484b01,,,Major,,,,Nadiya Omelchuk,712020:4a157d4a-df13-4316-9636-7219635236a2,Nadiya Omelchuk,712020:4a157d4a-df13-4316-9636-7219635236a2,11/Nov/25 8:28 AM,11/Nov/25 8:28 AM,,,,2025Q1,,,,,,,,0,,,,,,,,,"# FIS Tenant Creation
# DeepRecon and DeepPilot projects created and linked
# DeepView deployed (for Pilot graphs)
# FIS will initially only use the DeepSee managed login for the PoV, we will address SSO later

They are going to start with reconciling spreadsheets to PDF reports that we are extracting.",,Nadiya Omelchuk,,,,,712020:4a157d4a-df13-4316-9636-7219635236a2,,,,,,,,,,,,,,,,,,,,,,,,,,UI-683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5b49323d,,,,,,,,,,,,,,,,,,,,{},,,,,ghx-label-3,UI - Configure CTC Tenant,To Do,,,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,1|i01v5p:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48729,PR-1553,Set Up/Configure FIS Tenant,To Do,11/Nov/25 8:28 AM
